customer_id,region,city,cap
e4f5e592e5ed9f4ee608a09ae76ea443,Puglia,Brindisi,26155
7569ea856f1959d0371e70135efb6df7,Puglia,Brindisi,27265
101a5d44d7659f8b2ec49d385d80a1ed,Calabria,Crotone,35171
2bfd566c10ff41c47dc6e2f9dd51b467,Puglia,Lecce,27351
60bb8e0e1f7e340af936ec2882d8ae8d,Puglia,Lecce,27913
8c4a94e823813e9e03460f5f42ce4fe8,Calabria,Vibo Valentia,35160
2b3d8be4fa506df40afbeba026df7e70,Calabria,Vibo Valentia,36200
7569ea856f1959d0371e70135efb6df7,Puglia,Brindisi,27265
2bfd566c10ff41c47dc6e2f9dd51b467,Puglia,Lecce,27351
60bb8e0e1f7e340af936ec2882d8ae8d,Puglia,Lecce,27913
