customer_id,region,city,cap
d0615859a639a94c1fe472eba57d4a7c,Sicilia,Trapani,12900
4c9c41a8c1965305e2e1978666bd6d09,Campania,Benevento,4455
7ee0952c8c02af4f93762c21ddb66607,Sicilia,Palermo,13465
462903f7a882d16b16e174dfec5aece4,Sicilia,Enna,9960
5bfe800011656c0afb81db64519982db,Sicilia,Catania,16011
f4a9f3a779e9783f7c992f5723bbe3d3,Sicilia,Messina,12420
3db09129454f368874d3f18bb83c7d64,Sicilia,Catania,18120
bb98e27058a8d72162176e336a2b97a2,Sicilia,Messina,17033
c85bcc5a4c098769d6bbab6b77f61cb8,Piemonte,Cuneo,20240
e54f507ec1ad92aaaded5565f48f1a19,Emilia Romagna,Ferrara,9090
37b40b75293bd84e07bde8ad83066841,Puglia,Bari,24230
eb5bf624edb0f6368055aa558ffd2b23,Liguria,Imperia,87250
afe505252a17ffb026986235a7615c71,Abruzzo,Pescara,89220
a2c403073285474c9bb42414f75badde,Abruzzo,Teramo,88056
e0b0809fbdc11e448ee71e40402ee734,Abruzzo,L'Aquila,88501
9bd4ec3645cb38780110176b72910976,Abruzzo,Chieti,89705
68ebcac94ae12019a0d4412660f8f1d9,Friuli Venezia Giulia,Udine,48970
363424d16e12713a1afe0f46f3ab51e0,Friuli Venezia Giulia,Trieste,41940
0d8a00a1a77519c094786a9dfddea03b,Friuli Venezia Giulia,Trieste,41230
c8223f76047e09bea798462f2f46ffa9,Friuli Venezia Giulia,Pordenone,45690
b24e99c21cef9de4ad6b940683949ce0,Umbria,Perugia,29104
f74348cae67c2823481c835244740cc1,Umbria,Perugia,29101
6034b1115c7ac9b6ced55a6d30d3b62d,Trentino Alto Adige,Bolzano,70390
c908a3e881a6b1e45aba3336b478f445,Basilicata,Potenza,74555
84f15cc9c81cef2a84c29804eaf5c731,Basilicata,Matera,74936
9fa640b461197bf923b328f63ae4ac2b,Molise,Campobasso,60831
9da6254d98f02499baa9f562e545e257,Molise,Isernia,62115
061d8030d0f605af68c6ef004ca15700,Calabria,Reggio Calabria,38500
36b735afba701eeba82799b7d22161b2,Calabria,Reggio Calabria,31310
d84e7210215ea4e41afc01709a2a9124,Calabria,Reggio Calabria,31015
de9bf374bb9b9c1f0da9c6e148f5f2ea,Calabria,Reggio Calabria,30350
9d394287cc0e0045079b25d2df4adf87,Emilia Romagna,Rimini,7140
534b1baaa8b375f0fc4a2088dd5b0f68,Sicilia,Caltanissetta,13604
51d885b915b6ba6667088ca3289f06b4,Veneto,Padova,17514
0163a9517d96e283b1a883de0e71c826,Emilia Romagna,Bologna,13070
ba3f81b4928e851009ff39ebeddd520e,Sicilia,Enna,9920
7d7fc89ea76913eeb562675ed70cb77f,Emilia Romagna,Parma,13326
1acf4569604468397f3b048f50a7b4ec,Emilia Romagna,Reggio Emilia,11320
b3aadfe6bbaa40c1a5d4ff3172d9d950,Sicilia,Enna,13280
17ebae22126d3df35f5e1fa1efedab94,Veneto,Rovigo,18040
15bc7cbb1170241d34ff27230c88f023,Emilia Romagna,Bologna,13032
5d31ddffc029174e9dac6e1fdb4f75a7,Veneto,Rovigo,12721
672ed40727c0f5acb2a1439d107a5a82,Emilia Romagna,Rimini,7135
52aaa28398bf43dfbfc64dc09278f13d,Piemonte,Vercelli,22070
3132f23b8b8d89c902adc08c769e5db5,Emilia Romagna,Ferrara,9111
807158bef6145c422525d5413be80338,Lazio,Roma,9784
5c6fc6203282033c16b64ea68ed111e4,Lazio,Rieti,9820
897b42a91c4c99a830882d3470ecbb5f,Lombardia,Bergamo,53130
3258ef1cf6b31779ee6fdf397ae6e5f6,Lombardia,Lodi,77320
17cc67a8e493d2fc6c761f39b4ee9648,Veneto,Padova,9431
e49ffed12a438e0526f7d7f575649066,Veneto,Verona,13720
11e967f2d4216f48bdd64fc5bb934074,Veneto,Vicenza,9330
58010882ac48cc7801627ad2bcd383e4,Veneto,Padova,6624
341c4634e0f68d32b278e42dc843b433,Veneto,Venezia,19470
9380c4d3c24f6c62c443c8da0f2f0ecf,Campania,Avellino,1107
84224aa8a8d7d7a16e6ed976990b9cdf,Veneto,Venezia,12955
1a1aca3aea66ecc5fa26e1994aad30d6,Campania,Salerno,1152
20c93ce4bf340f35b3d27d2219cc5937,Veneto,Treviso,18460
